autor,titulo,universidad,director,año,país,género,misc
"GOUVEIA, Saulo",Brazilian Modemism: A Discourse of Unity and Suppression,Illinois,Sousa,2006,Brazil,Multigeneric,NA
"BRUZUAL, Alejandro","Narrativas contaminadas Tres novelas latinoamericanas: El tungsteno, Parque industrial y Cubagua",Pittsburgh,Martin / Beverley,2006,Brazil,Multigeneric,NA
"ALVORD, Scott Mark",Spanish Intona- tion in Contact: The Case of Miami Cuban Bilinguals,Minnesota,Klee / Face,2006,Linguistics,Spanish,Múltiple Areas
"GRAU-SEMPERE, Antonio",Conflicting Quantity Pattems in Ibero-Romance Prosody,Texas,Hensey,2006,Linguistics,MULTIPLE LANGUAGE LIN- GUISTICS,NA
"GUBTOSI, Patricia Claudia",La expresión de la pasividad en el discurso hispano en California y Nuevo México 1855-1950,Houston,Gutiérrez,2006,Linguistics,Spanish,Múltiple Areas
"KLUGER, Luisa",Ser y estar en el español sefardí: Un enfoque sociolingüístico his­tórico,Houston,Gutiérrez,2006,Linguistics,Spanish,Múltiple Areas
"SAIZ, Marina","Does L2 Word Decoding Imply L2 Meaning Activation? Relation- ships Among Decoding, Meaning Identifi­cation, and L2 Oral Language Proficiency in Reading Spanish as a Second Language",Pittsburgh,DeKeyser / Koda,2006,Linguistics,Spanish,Applied / Pedagogical
"SCHMEISER, Benjamin S",On the Durational Variability of Svarabhakti Vowels in Spanish Consonant Clusters,"California, Davis",Bradley,2006,Linguistics,Spanish,Phonology
"BUGEL, Talia",A Macro- and Micro- Sociolinguistic Study of Language Atti- tudes and Language Contact: Mercosur and the Teaching of Spanish in Brazil,Illinois,Escobar,2006,Linguistics Spanish Linguistics,Múltiple Languages,Múltiple Areas
"CHIN, Hsien-Jen (Diana)",Cross- Linguistic Effects on L2 Acquisition: An Investigation of Aspect,Illinois,Montrul,2006,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"FOOTE, Rebecca, K",A Psycholinguistic Investigation of Agreement in Spanish and English Monolinguals and Bilinguals,Illinois,Montrul,2006,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"MARTINEZ MIRA, María Isabel",Mood Simplifícation: Adverbial Clauses in Heritage Spanish,Illinois,Escobar,2006,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"SIMON, Robert Louis Dempsey",An Iber- ian Search: A Comparative Study of Sufí Mysticism’s Presence in the Postmodem Poetry of Clara Janés and Joaquim Pessoa,Texas,Hollaway,2006,Multi-Regional,Novel / Short Story,NA
" BORDEN, Matthew Lloyd",Dysfunc- tional Families in Calderón’s Wife- Murder Tragedies,Texas,Reed,2006,Spain,Drama,NA
"BIRD, David W",Political Roads Untraveled: Tum of the Century Regional Discourses and the Modem Constitution of Spanish National Identity,Kentucky,Larson,2006,Spain,Essay,NA
"CANNERELLI-PECK, Anjela","Caving Subjects, Wonderful Monsters: Convivencia after 1492",Emory,Carrión,2006,Spain,Multigeneric,NA
"CÍVICO-LYONS, Imaculada Concepción",The Construction of Male Subjectivity by Four Contemporary Spanish Women Writers,Texas,Higginbotham,2006,Spain,Novel / Short Story,NA
"HEIL, Katrina Marie",Modem Tragedy in the Absence of God: An Analysis of Una- muno and Buero Vallejo,Texas,Holloway,2006,Spain,Multigeneric,NA
"JEREZ-GÓMEZ, Jesús David",Orality and Oralization within the Literary and Social Panorama of the Golden Age,"California, Davis",Martín,2006,Spain,Novel / Short Story,NA
"LADNER, Erik Christopher",The Limits of Posibilismo: the Censors and Antonio Buero Vallejo,Texas,Holloway,2006,Spain,Drama,NA
"MARSH, Eleanor G",La pregonera divina: Tradición medieval y estrategia persuasiva en La vida de la Venerable Madre Isabel de Jesús,"California, Davis",Martín,2006,Spain,Multigeneric,NA
"OCHOA, Debra Joanne",La Chica Rara: Witness to Transgression in the Fiction of Spanish Women Writers 1958-2003,Texas,Higginbotham,2006,Spain,Novel / Short Story,NA
"PÉREZ-BOLUDA, Adrián",Rimas humanas y divinas del Licenciado Tome de Burguillos. Una lectura erótica,"Califor­nia, Davis",Martin,2006,Spain,Novel / Short Story,NA
"PRADO, Antonio","Escritoras anarco- femininas en la revista Blanca (AS­IOOS /1923-1936): Matrimonio, familiay estado",Illinois,Delgado,2006,Spain,Multigeneric,NA
"STOVALL, Holly",The Non-Referential Novel: Ana María Moix and the Gauche Divine,CUNY Gradúate Center,Sherzer,2006,Spain,Novel / Short Story,NA
"VIVALDA, Nicolás",Refiguraciones del valor de la experiencia en el siglo XVII español: Apuntes desde la modernidad de una episteme alternativa,Pittsburgh,Beverley / Herlinghaus,2006,Spain,Poetry,NA
"WORLEY, Robert Donald",The Kingdom of Spain as an Allegory of Christ’s King­dom in Five Autos by Calderón,Texas,Zimic,2006,Spain,Drama,NA
"BENÍTEZ-MORALES, Carmen",De la historia a la ficción: La República Dominicana en la narrativa breve de José Alcántara Almánzar,Rutgers,Narváez,2006,Spanish America,Novel / Short Story,NA
"C ANTU, Irma Leticia",La escritura de viaje desde la perspectiva latinoamericana: Octavio Paz y el caso mexicano,Texas,Fierro,2006,Spanish America,Novel / Short Story,NA
"FERNÁNDEZ, Renata","Dependence, Independence and Death:	Toward a Psychobiography of Delmira Agustini",Kentucky,Carvalho,2006,Spanish America,Novel / Short Story,NA
"HARRIS, Amanda Nolacea",From the Movement to the Post-Movement: Re- thinking Anti-Hegemonic Discourses in Chicana FeministThought,Illinois,Sousa and Castillo,2006,Spanish America,Multi-Generic,NA
"KELTON, Kevin",Priestly Figurations: The “Privileged Other” in the Twentieth- Century Latin-American Novel,Rutgers,Sifuentes-Jáuregu,2006,Spanish America,Novel / Short Story,NA
"KRESSNER, Ilka",Stages of Disquiet: Evocations of Space in Latin-American Short Fiction and Its Cinematographic Transformation,Virginia,Pellón,2006,Spanish America,Multigeneric,NA
"MUNIZ, María Gabriela",Restos inmor­tales: Literatura forense en el Cono Sur,"California, Davis",Larsen,2006,Spanish America,Historiography,NA
"NARVÁEZ-LUNA, Elizabeth",Materia memorable: Hacia una revisión de la poesía de mujeres en México durante el siglo XIX,Illinois,Wilcox,2006,Spanish America,Poetry,NA
"POFFENBERGER, Abby","The Boom of Mexican Indigenous Literature: Resis- tance, Reaffirmation and Revisión",Kentucky,Carvalho,2006,Spanish America,Novel / Short Story,NA
"RIVAS, Sara María","Edgardo Rodríguez Julia: Peregrinaciones, héroes y tumbas en la formación de la nación puertorriqueña",Illinois,Goldman,2006,Spanish America,Other,NA
"RODRÍGUEZ-RAMÍREZ, Rene",El cuerpo nacional o lo nacional en el cuerpo: El performance identitario en la narrativa contemporánea puertorriqueña,Rutgers,Sifuentes-Jáuregui,2006,Spanish America,Multigeneric,NA
"SÁNCHEZ RONDÓN, Julio César",Poética de lo soez. Luis Rafael Sánchez: Identidad y cultura en América Latina y el Caribe,Nebraska,Turner,2006,Spanish America,Multigeneric,NA
"WERTH, Brenda G",Dramatic Interventions: Performance and Memory Politics in Contemporary Argentine Theatre (1983-2005),Rutgers,Stevens / Zatlin,2006,Spanish America,Multigeneric,NA
"WILSON, Timothy",Rocking the Regime: The Role of Argentine Rock Music in a Changing Socio-Political Context (1970­1985),Illinois,Goldman,2006,Spanish America,Other,NA
"ZAVALA, Oswaldo",Literature to Infinity: A Borgesian Genealogy of Contemporary Mexican Narrative,Texas,Fierro,2006,Spanish America,Novel / Short Story,NA
"ZETTLE, Erika Katharina",From Reflexión to Deception: Martín Morúa Delgado’s Narrative Series: Sofía and La Familia Unzuzu,Texas,Salgado,2006,Spanish America,Novel / Short Story,NA
"GONZALEZ DEL POZO, Jorge",Com- promising Art: The Limits of Discourse in Hispanic Narrative and Film (1980­2005),Kentucky,Rueda,2006,Trans-Atlantic,Multigeneric,NA
"MORELLO, Henry James",Masking the Past: Trauma in Latin American and Peninsular Theatre,Illinois,Goldman,2006,Trans-Atlantic,Drama,NA
"PEARCE-GONZALEZ, Bryan",Hybridity and Latino Identity,Kentucky,Santí,2006,United States,Novel / Short Story,NA
"MONTAGUE, Alexandra",Contagious Identities: Literary Responses to the Sanitation and Eugenics Movements in Brazil,Brown,Valente,2007,Brazil,Multigeneric,NA
"SAMALOT-RIVERA, Yamil Antonio",A Camavalização da Fé: O Novo Romance Histórico de Revisitação Colonial e a Releitura das Raízes Religiosas do Brasil,Brown,Valente,2007,Brazil,Multigeneric,NA
"ERNST, Kirsten Marie","Rios, pontes e overdrives: Northeastem Regionalism in a Globalized Brazil","California, Berkeley",Slater,2007,Brazil,Other,NA
"RIBEIRO, Marilia Scaff Rocha",Intímate Geographies: Space and Experience in Contemporary Brazilian Literature,Brown,Vieira,2007,Brazil,Novel / Short Story,NA
"SMITH, Steven Keith","Palcos Políticos: Activist Theater in Contemporary São Paulo, Brazil",Wisconsin,Albuquerque,2007,Brazil,Drama,NA
"ALEXANDER, David B",The Spanish Postnominal Demonstrative in Synchrony and Diachrony,Ohio State,Wanner,2007,Linguistics,Spanish,Synchronic
"AMARAL, Luiz Alexandre",Designing Intelligent Language Tutoring Systems for Integration into Foreign Language Instruction,Ohio State,Grinstead/Meurers,2007,Linguistics,Spanish,Second Language Acquisition
"ANRRICH, Graciela M",Substitutions for English Consonants by Adult Speakers of Cuban Spanish,Georgetown,Guitart,2007,Linguistics,Spanish,Múltiple Areas
"CHEN, Yudong",A Comparison of Span­ish Produced by Chinese L2 Leamers and Native Speakers. An Acoustic Phonetics Approach,Illinois,Hualde,2007,Linguistics,Spanish,Múltiple Areas
"FILE-MURIEL, Richard","The Role of Lexical Frequency and Phonetic Context in the Weakening of Syllable-Final Lexical /S/ in the Spanish of Barranquilla, Colombia",Indiana,Clements,2007,Linguistics,Spanish,Phonology
"GARCÍA, Nicole",South Meets North: Language Contact Phenomena in the Fargo Area,Temple,Holmquist,2007,Linguistics,Spanish,Múltiple Areas
"HSIEH, Hui-Chen","Input-Based Practice, Feedback, Awareness and L2 Develop-ment through a Computerized Task",Georgetown,Leow,2007,Linguistics,Spanish,Other
"HU, Hsiao-Ping","Spanish-Chinese Bilin- gualism in Guayaquil, Ecuador",Temple,Holmquist,2007,Linguistics,MULTIPLE LANGUAGE LIN- GUISTICS,NA
"LEE, Su Ar",Absolute Interrogative Intonations in Buenos Aires Spanish,Ohio State,Martínez-Gil,2007,Linguistics,Spanish,Theoretical
"LENK, Sonia",Can Minority Languages Survive in a Situation of Sustained Bilingualism? Ethnolinguistic Vitality and Language Behavior Among Indigenous Speakers of Quichua in Ecuador,Pittsburgh,DeKeyser,2007,Linguistics,Quichua,NA
"MORENO, Nina",The Effects of Type of Task and Type of Feedback on L2 Development in CALL,Georgetown,Leow,2007,Linguistics,Spanish,Applied / Pedagogical
"MORGAN-SHORT, Kara",A Neurolin- guistic Investigation of Late-Leamed Second Language: Effects of Explicit and Implicit Conditions,Georgetown,Sanz / Steinhauer / Ullman,2007,Linguistics,Spanish,Applied / Pedagogical
"RAO, Rajiv G",Issues in the Phrasing of Barcelona Spanish,"California, Davis",Bradley,2007,Linguistics,Spanish,Phonology
"RODRÍGUEZ, Ángelo Javier",The Role of Early Alignment in Broad/Narrow Focus Declaratives in Buenos Aires Spanish,"California, Davis",Bradley,2007,Linguistics,Spanish,Phonology
"ROJAS-PRIMUS, Constanza",Lengua ri­tual y sincretismo: Dinámicas de hibridez en el discurso mágico-religioso Palo Monte-Mayombe,Alberta,Ruétalo / Lang,2007,Linguistics,MULTIPLE LANGUAGE LIN- GUISTICS,NA
"ROSAS-MAYÉN, Norma",Afro-Hispanic Linguistic Remnants in México: The Case of the Costa Chica Región of Oaxaca,Purdue,Hammond,2007,Linguistics,Spanish,Múltiple Areas
"SÁNCHEZ MUÑOZ, Ana",Register and Style Variation in Speakers of Spanish as a Heritage and as a Second Language,Southern California,Silva-Corvalán,2007,Linguistics,Spanish,Sociolinguistics
"SHENK, Elaine Marie",The Economies of Language Choice: Where Theory and Practice Meet,Iowa,Niño-Murcia,2007,Linguistics,Spanish,Sociolinguistics
"STANFORD, James",Dialect Contact and Identity: A Case Study of Exogamous Sui Clans,Michigan State,Preston,2007,Linguistics,Spanish,Sociolinguistics
"SWANSON, Amy Phyllis",Semantic Ambiguity in the Lexical Access of Verbs: How Data from Monolinguals and Bilinguals Inform a General Model of the Mental Lexicón,Illinois,Dussias,2007,Linguistics,Spanish,Múltiple Areas
"VALENTÍN-MÁRQUEZ, Wilfredo",Doing Being Boricua:	Perceptions of National Identity and the Sociolinguistic Distribution of Liquid Variables in Puerto Rican Spanish,Michigan,Satterfield,2007,Linguistics,Spanish,Sociolinguistics
"CABRERA-PUCHE, María J",Nuil Subject Pattems in Language Contact: The Case of Dominican Spanish,Rutgers,Sánchez,2007,Linguistics Spanish Linguistics,Spanish,Second Language Acquisition
"MARQUES, Laura",The Effect of Study Abroad on the Acquisition of Word Order with Intransitive Verbs in L2 Spanish,"California, Davis",Blake,2007,Linguistics Spanish Linguistics,Spanish,Second Language Acquisition
"MINOR, Denise","“En la escuela, you have to speak Spanish ” Language Choices and Their Effect upon L2 Pro- ficiency in a Spanish Immersion Class- room","California, Davis",Colombi,2007,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"OLI VER, Julia",Vowel Raising in Puerto Rican Spanish,"Illinois, Chicago",Núñez- Cedeño,2007,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"PARDO-B ALLESTER, Maria Cristina",The Development of a Web-Based Spanish Listening Placement Exam,"California, Davis",Blake,2007,Linguistics Spanish Linguistics,Spanish,Other
"ZULAICA HERNÁNDEZ, Iker",Demon- strative Pronouns in Spanish: A Discourse- Based Study,Ohio State,Gutiérrez Rexach,2007,Linguistics Spanish Linguistics,Spanish,Theoretical
"AMARAL, Patricia Matos",The Meaning of Approximative Adverbs: Evidence from European Portuguese,Ohio State,Schwenter,2007,Multi-Regional,Theoretical,NA
"BRADEN, Michael",A Study of Non- mimetic Modes in the Short Fiction of the Hispanic Southern Cone and Brazil,Purdue,Dixon,2007,Multi-Regional,Novel / Short Story,NA
"CUMMINS MUÑOZ, Elizabeth Aline",Writing the Past: Women’s Historical Fiction of Greater México,Houston,Parkinson Zamora,2007,Multi-Regional,Novel/Short Story,NA
"JACOVKIS, Natalia Inés",La novela policial latinoamericana en los tiempos del neoliberalismo,Florida,Barradas,2007,Multi-Regional,Novel / Short Story,NA
"ORTIZ, María Mercedes",Mundos en pugna: Narrativas de frontera en la literatura hispanoamericana y brasileña,Iowa,Barbosa / Willingham,2007,Multi-Regional,Multigeneric,NA
"VERA-ROJAS, Maria Teresa",EI género de las charlas y las charlas del género: ¿De qué hablaban las mujeres puertorriqueñas en Nueva York? Recuperación y análisis de los ensayos-crónicas publicados por Clotilde Betances Jaeger y María Mas Pozo en el semanario Gráfico de Nueva York entre 1929 y 1930,Houston,Kane- llos,2007,Multi-Regional,Multi-Generic,NA
"CRESPO, Natalia María","Parodias al canon nacional en la literatura hispánica contemporánea (1978-2000). Ejemplos de Argentina, España y Colombia",Illinois,Palencia-Roth and Tolliver,2007,NA,Novel / Short Story,NA
" JONES-KELLOG, Rebecca Lynn","Alexan­dre Herculano and the Historical-Gothic Tradition in Portugal: Dark Times, Mad Monks and National Critique in O frontei­ro d’Africa ou très noites aziagas (1838), Eurico o Presbítero (1844), and O Monge de cister (1848)",Wisconsin,Sapega,2007,Portugal,Novel / Short Story,NA
" CHAMBERS, Donna Marie",From within the Birdcage: Societal Revelations in the Plays of Angela de Azevedo,Georgetown,Mujica,2007,Spain,Drama,NA
" PEDRÓS-GASCÓN, Antonio",Diálogos transatlánticos: Un “boom” de ida y vuelta,Ohio State,Amell,2007,Spain,Chronicle,NA
"ALFIEIRI, Amy Pettigrew",Burlas and Burladores in Don Quixote,"California, Davis",Martin,2007,Spain,Novel / Short Story,NA
"ALTAMIRANO,Nicole",TakingBackthe Thread: Revisionist Mythmaking in the Poetry of Spanish Women Writers from the 1920-1940s,"California, Berkely",Bergmann,2007,Spain,Poetry,NA
"BARCENAS, Carmen","La mujer española y la deconstrucción del discurso misógino en Crónica del desamor, La función Delta y Te trataré como a una reina de Rosa Montero",Houston,Solino,2007,Spain,Novel/Short Story,NA
"CASAS, María Lourdes",La novela de quiosco: El eslabón perdido (¿U olvidado?) en la historia cultural y literaria del primer tercio del siglo español De El cuento semanal a La novela mundial,Wisconsin,Blanco,2007,Spain,Novel / Short Story,NA
"DE ABAJO, María Nieves","El ámbito de lo privado: Crisis y transformación en las protagonistas femeninas en Nubosidad variable (CM Gaite), Atlas de geografía humana (A Grandes), Amor, curiosidad,  prozac y dudas (L Etxebarría)",New México,Rivera,2007,Spain,Novel/Short Story,
"DE OURDA, Juan",Representaciones de la violencia en la poesía de la Guerra Civil Española,Missouri,Ugarte,2007,Spain,Poetry,NA
"DE URDA, Juan Antonio",Representa­ciones de la violencia en la poesía de la guerra civil española,Missouri,Ugarte,2007,Spain,Poetry,NA
"DELICADO, Gemma",La prole de Maria Magdalena en la literatura del Siglo de Oro,Chicago,De Armas,2007,Spain,Multigeneric,NA
"FERNÁNDEZ MEDINA, Sara",La inmortalización de la Castilla rural del siglo XX en la novela de Miguel Delibes: Historia de un éxodo,Texas Tech,Pérez,2007,Spain,Novel / Short Story,NA
"GONZÁLEZ-ALLENDE, Iker",Género y nación en la narrativa vasca durante la Guerra Civil Española,Illinois,Delgado,2007,Spain,Novel / Short Story,NA
"GOODIN, Donna",Writing as Recon- stitutive Act: Healing and Self-Expression in Early Spanish Women’s Writing,Michigan State,Snow and Quispe-Agnoli,2007,Spain,Multi-Generic,NA
"HAN, Heeju",Galdosian Novéis Adapted in Film and Televisión: 1970-1998,Indiana,Bieder,2007,Spain,Novel / Short Story,NA
"KEBADZE, Niño",Fictions of Surrender: Romance and Exemplarity in Post-War Spanish Women's Narratives,Kentucky,Rueda,2007,Spain,Novel / Short Story,NA
"KEMPEN, Mary Ann",Concepts of the Nation and Nationalism in Benito Pérez Galdós’s Episodios nacionales,Wisconsin,Blanco,2007,Spain,Novel / Short Story,NA
